"Nombre","Zona","Significado"
"Ananda","Sri Lanka","Felicidad, dicha."
"Nayana","Sri Lanka","Ojo."
"Kavindi","Sri Lanka","Poética / ligada a la literatura, uso moderno tradicional."
"Sanduni","Sri Lanka","Ligado a la luna / nombre femenino tradicional."
"Tharindu","Sri Lanka","Estrella o resplandor lunar, según uso local."
"Udaya","Sri Lanka","Amanecer."
"Saman","Sri Lanka","Flores / también nombre tradicional masculino."
"Nimal","Sri Lanka","Puro, limpio."
"Chathuranga","Sri Lanka","Cuatro partes / estrategia."
"Priyanka","Sri Lanka","Querida, amada."
"Thusitha","Sri Lanka","Alegría / satisfacción."
"Dinuka","Sri Lanka","Resplandor / claridad."
"Harsha","Sri Lanka","Alegría."
"Ishara","Sri Lanka","Señal / indicio."
"Kasun","Sri Lanka","Nombre tradicional moderno cingalés."
"Maleesha","Sri Lanka","Fragancia / suave, según uso local."
"Anjali","Sri Lanka","Ofrenda con las manos / saludo reverente."
"Chamara","Sri Lanka","Abanico / símbolo real en usos históricos."
"Ruwan","Sri Lanka","Oro."
"Thilina","Sri Lanka","Plenitud / completo, según uso local."
