"Nombre","Zona","Significado"
"Asha","África oriental","Vida, esperanza."
"Nuru","África oriental","Luz."
"Baraka","África oriental","Bendición."
"Zuri","África oriental","Bella."
"Neema","África oriental","Gracia."
"Malaika","África oriental","Ángel."
"Makena","África oriental","La feliz."
"Sifa","África oriental","Alabanza."
"Juma","África oriental","Nacido en viernes."
"Kato","África oriental","Segundo de dos gemelos."
"Tewodros","Etiopía / cuerno de África","Forma etíope de un nombre histórico, asociado a grandeza."
"Haile","Etiopía / cuerno de África","Fuerza."
"Menelik","Etiopía","Nombre histórico etíope."
"Selam","Etiopía","Paz."
"Almaz","Etiopía","Diamante."
"Makeda","Etiopía","Reina de Saba, en tradición etíope."
"Yared","Etiopía","Descendiente."
"Aster","Etiopía","Estrella."
"Kassa","Etiopía","Nombre histórico; asociado a linaje."
"Winta","Etiopía","Nombre tradicional etíope."
